phase,arch,mean_latency_ms,p95_latency_ms,wrong_bypass_rate_pct,fallback_rate_pct,admissibility_violations,oscillation_events,mean_structural_cost,n_tasks,total_bypasses,depreciation_events,successful_bounded_bypass
stable,A_FULL_ANALYSIS,40.09486794365801,44.978222788761805,0.0,0.0,0,0,1.0,7500,0,0,0
stable,B_NAIVE_CACHE,9.63998953686065,16.791771840322415,0.0,4.8,0,0,0.3336,7500,7140,0,0
stable,C_BOUNDED_ROUTING,10.493322870193982,38.88202962648214,0.0,7.466666666666668,0,0,0.3522666666666666,7500,6940,0,6940
drift,A_FULL_ANALYSIS,40.001277706536854,44.92704255412778,0.0,0.0,0,0,1.0,7500,0,0,0
drift,B_NAIVE_CACHE,9.815150964654567,36.63935646486619,1.6101694915254237,5.6000000000000005,114,0,0.3395333333333332,7500,7080,0,0
drift,C_BOUNDED_ROUTING,9.778282453010743,36.5044778280984,1.4253457521874118,5.52,101,0,0.33863999999999994,7500,7086,0,6985
fault,A_FULL_ANALYSIS,40.01926395010345,45.020797350688134,0.0,0.0,0,0,1.0,5000,0,0,0
fault,B_NAIVE_CACHE,12.257033592529252,40.72319015208965,0.0,13.22,0,0,0.39253999999999994,5000,4339,0,0
fault,C_BOUNDED_ROUTING,12.257033592529252,40.72319015208965,0.0,13.22,0,0,0.39253999999999994,5000,4339,0,4339
recovery,A_FULL_ANALYSIS,39.99279998180078,44.90511944926917,0.0,0.0,0,0,1.0,3750,0,0,0
recovery,B_NAIVE_CACHE,10.27067981396286,38.18369736760221,0.947187141216992,7.093333333333334,33,0,0.34965333333333326,3750,3484,0,0
recovery,C_BOUNDED_ROUTING,19.620711615032267,43.35294221000108,1.2981574539363483,36.32,31,0,0.55424,3750,2388,0,2357
oscillation,A_FULL_ANALYSIS,39.97478020175853,44.90714299411482,0.0,0.0,0,0,1.0,6250,0,0,0
oscillation,B_NAIVE_CACHE,10.271078236287376,37.85142767510125,1.094765651727677,6.464,64,58,0.3516479999999999,6250,5846,0,0
oscillation,C_BOUNDED_ROUTING,11.660651590979356,40.34858966163295,0.0,11.488,0,65,0.3804159999999999,6250,5532,0,5532
