seed,pattern_id,route_class,requalified_at_ms,time_to_requalify_ms,degradation_onset_ms,eligible_for_primary_matched_comparison,ineligibility_reason,first_inadmissible_task_ms,final_state_D,state_transition_history_D,time_confidence_gate_failed_D,time_first_bypass_authority_blocked_D,first_blocking_gate_D,time_first_wrong_bypass_B,time_first_wrong_bypass_C,time_first_wrong_bypass_D,primary_tasks_B,primary_bypasses_B,primary_wrong_bypasses_B,primary_wbr_B,primary_exposure_wbr_B,primary_fallback_rate_B,primary_tasks_C,primary_bypasses_C,primary_wrong_bypasses_C,primary_wbr_C,primary_exposure_wbr_C,primary_fallback_rate_C,primary_tasks_D,primary_bypasses_D,primary_wrong_bypasses_D,primary_wbr_D,primary_exposure_wbr_D,primary_fallback_rate_D,relapse_tasks_B,relapse_bypasses_B,relapse_wrong_bypasses_B,relapse_wbr_B,relapse_exposure_wbr_B,relapse_fallback_rate_B,relapse_tasks_C,relapse_bypasses_C,relapse_wrong_bypasses_C,relapse_wbr_C,relapse_exposure_wbr_C,relapse_fallback_rate_C,relapse_tasks_D,relapse_bypasses_D,relapse_wrong_bypasses_D,relapse_wbr_D,relapse_exposure_wbr_D,relapse_fallback_rate_D
42,5,BORDERLINE_RELAPSE,80660.0,660.0,85000.0,True,,85620.0,ACTIVE,"[{'time_ms': 700.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 940.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80660.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",88540.0,88540.0,confidence,85620.0,85620.0,85620.0,167,37,4,10.811,23.952,77.84,167,15,4,26.667,23.952,91.02,167,37,4,10.811,23.952,77.84,142,12,4,33.333,28.169,91.55,142,12,4,33.333,28.169,91.55,142,12,4,33.333,28.169,91.55
42,6,BORDERLINE_RELAPSE,80260.0,260.0,85000.0,True,,85080.0,ACTIVE,"[{'time_ms': 240.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 420.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80260.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",85700.0,85700.0,confidence,85080.0,85080.0,85080.0,194,35,2,5.714,10.309,81.96,194,2,2,100.0,10.309,98.97,194,36,3,8.333,15.464,81.44,161,2,2,100.0,12.422,98.76,161,2,2,100.0,12.422,98.76,161,3,3,100.0,18.634,98.14
42,7,BORDERLINE_RELAPSE,80940.0,940.0,85000.0,True,,86580.0,ACTIVE,"[{'time_ms': 1200.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 1440.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80940.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",89880.0,89880.0,confidence,86580.0,86580.0,86580.0,168,81,15,18.519,89.286,51.79,168,58,16,27.586,95.238,65.48,168,86,16,18.605,95.238,48.81,128,41,15,36.585,117.188,67.97,128,46,16,34.783,125.0,64.06,128,46,16,34.783,125.0,64.06
99,5,BORDERLINE_RELAPSE,80420.0,420.0,85500.0,True,,86640.0,ACTIVE,"[{'time_ms': 580.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 820.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80420.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",88460.0,88460.0,confidence,86640.0,86640.0,86640.0,171,44,4,9.091,23.392,74.27,171,25,5,20.0,29.24,85.38,171,48,5,10.417,29.24,71.93,135,8,4,50.0,29.63,94.07,135,12,5,41.667,37.037,91.11,135,12,5,41.667,37.037,91.11
99,6,BORDERLINE_RELAPSE,80360.0,360.0,85500.0,True,,85520.0,ACTIVE,"[{'time_ms': 720.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 1080.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80360.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",86060.0,86060.0,confidence,85520.0,85520.0,85520.0,195,42,2,4.762,10.256,78.46,195,4,2,50.0,10.256,97.95,195,43,3,6.977,15.385,77.95,155,2,2,100.0,12.903,98.71,155,2,2,100.0,12.903,98.71,155,3,3,100.0,19.355,98.06
99,7,BORDERLINE_RELAPSE,80480.0,480.0,85500.0,True,,87020.0,ACTIVE,"[{'time_ms': 840.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 980.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80480.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",87460.0,87460.0,confidence,87020.0,87020.0,87020.0,168,83,14,16.867,83.333,50.6,168,59,17,28.814,101.19,64.88,168,92,17,18.478,101.19,45.24,130,45,14,31.111,107.692,65.38,130,50,17,34.0,130.769,61.54,130,54,17,31.481,130.769,58.46
500,5,BORDERLINE_RELAPSE,80760.0,760.0,86000.0,True,,86240.0,ACTIVE,"[{'time_ms': 620.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 840.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80760.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",88640.0,88640.0,confidence,86240.0,86240.0,86240.0,185,44,6,13.636,32.432,76.22,185,25,8,32.0,43.243,86.49,185,51,8,15.686,43.243,72.43,151,10,6,60.0,39.735,93.38,151,17,8,47.059,52.98,88.74,151,17,8,47.059,52.98,88.74
500,6,BORDERLINE_RELAPSE,80840.0,840.0,86000.0,True,,86680.0,ACTIVE,"[{'time_ms': 980.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 1560.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80840.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",87000.0,87000.0,confidence,86680.0,86680.0,86680.0,206,41,2,4.878,9.709,80.1,206,14,2,14.286,9.709,93.2,206,41,2,4.878,9.709,80.1,167,2,2,100.0,11.976,98.8,167,2,2,100.0,11.976,98.8,167,2,2,100.0,11.976,98.8
500,7,BORDERLINE_RELAPSE,80860.0,860.0,86000.0,True,,87840.0,ACTIVE,"[{'time_ms': 800.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 1320.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80860.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",87980.0,87980.0,confidence,87840.0,87840.0,87840.0,172,83,14,16.867,81.395,51.74,172,59,17,28.814,98.837,65.7,172,85,17,20.0,98.837,50.58,133,44,14,31.818,105.263,66.92,133,46,17,36.957,127.82,65.41,133,46,17,36.957,127.82,65.41
777,5,BORDERLINE_RELAPSE,80900.0,900.0,86500.0,True,,87400.0,ACTIVE,"[{'time_ms': 380.0, 'from': 'ACTIVE', 'to': 'WARNED'}, {'time_ms': 780.0, 'from': 'WARNED', 'to': 'ACTIVE'}, {'time_ms': 80000.0, 'from': 'ACTIVE', 'to': 'REQUALIFYING'}, {'time_ms': 80900.0, 'from': 'REQUALIFYING', 'to': 'ACTIVE'}]",88300.0,88300.0,confidence,87400.0,87400.0,87400.0,204,53,5,9.434,24.51,74.02,204,28,6,21.429,29.412,86.27,204,55,6,10.909,29.412,73.04,157,6,5,83.333,31.847,96.18,157,8,6,75.0,38.217,94.9,157,8,6,75.0,38.217,94.9
