phase,arch,k_requalify,n_tasks,mean_latency_ms,wrong_bypass_rate_pct,fallback_rate_pct,admissibility_violations,total_bypasses
stable,A_FULL_ANALYSIS,5,7500,39.97,NA,0.0,0,0
stable,B_NAIVE_CACHE,5,7500,9.55,0.0,4.8,0,7140
stable,C_TIMER_BOUND,5,7500,10.38,0.0,7.47,0,6940
stable,D_REQUALIFYING,5,7500,10.38,0.0,7.47,0,6940
drift,A_FULL_ANALYSIS,5,7500,40.08,NA,0.0,0,0
drift,B_NAIVE_CACHE,5,7500,9.78,1.652,5.57,117,7082
drift,C_TIMER_BOUND,5,7500,9.92,1.376,5.99,97,7051
drift,D_REQUALIFYING,5,7500,9.92,1.376,5.99,97,7051
fault,A_FULL_ANALYSIS,5,5000,40.01,NA,0.0,0,0
fault,B_NAIVE_CACHE,5,5000,12.04,0.0,12.54,0,4373
fault,C_TIMER_BOUND,5,5000,12.03,0.0,12.54,0,4373
fault,D_REQUALIFYING,5,5000,12.03,0.0,12.54,0,4373
recovery,A_FULL_ANALYSIS,5,7500,39.97,NA,0.0,0,0
recovery,B_NAIVE_CACHE,5,7500,21.04,2.24,37.49,105,4688
recovery,C_TIMER_BOUND,5,7500,25.46,3.41,51.91,123,3607
recovery,D_REQUALIFYING,5,7500,21.65,2.769,39.33,126,4550
oscillation,A_FULL_ANALYSIS,5,2500,39.94,NA,0.0,0,0
oscillation,B_NAIVE_CACHE,5,2500,15.17,1.525,21.32,30,1967
oscillation,C_TIMER_BOUND,5,2500,16.33,0.0,25.84,0,1854
oscillation,D_REQUALIFYING,5,2500,16.29,0.0,25.84,0,1854
