scenario_id,seed,pattern_id,eligible,requalified_at_ms,deformation_onset_ms,deformation_clear_ms,shape_revocation_time_ms,flat_revocation_time_ms,comparable_revocation,revocation_lead_ms,tasks_exposed_before_shape_revocation,c_bypasses,d_bypasses,c_wrong_bypasses,d_wrong_bypasses,c_wrong_bypass_rate_over_bypasses,d_wrong_bypass_rate_over_bypasses,c_wrong_bypass_rate_over_tasks,d_wrong_bypass_rate_over_tasks,scenario_kind
D2_PERSISTENT_SOFT_IMBALANCE,42,5,True,80820.0,85000.0,89000.0,85200.0,88080.0,True,2880.0,1,13,1,4,0,0.3076923076923077,0.0,0.23529411764705882,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,42,6,True,80940.0,85000.0,89000.0,85200.0,85720.0,True,520.0,1,3,1,3,1,1.0,1.0,0.16666666666666666,0.05555555555555555,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,42,7,True,81380.0,85000.0,89000.0,85200.0,86780.0,True,1580.0,0,15,0,3,0,0.2,,0.09375,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,99,5,True,80920.0,85500.0,89500.0,85700.0,87680.0,True,1980.0,3,13,3,5,0,0.38461538461538464,0.0,0.21739130434782608,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,99,6,True,80360.0,85500.0,89500.0,85700.0,86180.0,True,480.0,1,4,1,3,1,0.75,1.0,0.1,0.03333333333333333,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,99,7,True,81380.0,85500.0,89500.0,85700.0,87940.0,True,2240.0,1,13,1,3,0,0.23076923076923078,0.0,0.12,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,500,5,True,80600.0,86000.0,90000.0,86200.0,87880.0,True,1680.0,2,18,2,6,0,0.3333333333333333,0.0,0.15,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,500,6,True,80280.0,86000.0,90000.0,86200.0,87160.0,True,960.0,0,3,0,3,0,1.0,,0.2,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,500,7,True,80900.0,86000.0,90000.0,86200.0,88000.0,True,1800.0,1,14,1,3,0,0.21428571428571427,0.0,0.125,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,777,5,True,80300.0,86500.0,90500.0,86700.0,89140.0,True,2440.0,1,19,1,4,0,0.21052631578947367,0.0,0.15384615384615385,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,777,6,True,80440.0,86500.0,90500.0,86700.0,86940.0,True,240.0,2,3,2,3,2,1.0,1.0,0.10344827586206896,0.06896551724137931,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,777,7,True,81180.0,86500.0,90500.0,86700.0,88540.0,True,1840.0,0,11,0,3,0,0.2727272727272727,,0.14285714285714285,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,1337,5,True,80580.0,87000.0,91000.0,87200.0,89820.0,True,2620.0,2,22,2,5,0,0.22727272727272727,0.0,0.1724137931034483,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,1337,6,True,80440.0,87000.0,91000.0,87200.0,87800.0,True,600.0,0,3,0,3,0,1.0,,0.1111111111111111,0.0,SOFT
D2_PERSISTENT_SOFT_IMBALANCE,1337,7,True,81080.0,87000.0,91000.0,87200.0,89720.0,True,2520.0,3,21,3,3,0,0.14285714285714285,0.0,0.1111111111111111,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,5,True,80840.0,85000.0,89000.0,85200.0,87820.0,True,2620.0,2,15,2,5,0,0.3333333333333333,0.0,0.22727272727272727,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,6,True,80980.0,85000.0,89000.0,85200.0,85780.0,True,580.0,3,4,3,3,2,0.75,0.6666666666666666,0.13636363636363635,0.09090909090909091,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,7,True,81080.0,85000.0,89000.0,85200.0,86980.0,True,1780.0,0,14,0,2,0,0.14285714285714285,,0.0625,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,5,True,80820.0,85500.0,89500.0,85700.0,88700.0,True,3000.0,1,17,1,4,0,0.23529411764705882,0.0,0.19047619047619047,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,6,True,80680.0,85500.0,89500.0,85700.0,86080.0,True,380.0,0,3,0,3,0,1.0,,0.15789473684210525,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,7,True,80660.0,85500.0,89500.0,85700.0,87820.0,True,2120.0,2,14,2,4,1,0.2857142857142857,0.5,0.2,0.05,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,5,True,80880.0,86000.0,90000.0,86200.0,87960.0,True,1760.0,0,16,0,5,0,0.3125,,0.15625,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,6,True,80740.0,86000.0,90000.0,86200.0,86240.0,True,40.0,4,4,4,3,3,0.75,0.75,0.14285714285714285,0.14285714285714285,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,7,True,80780.0,86000.0,90000.0,86200.0,87860.0,True,1660.0,0,11,0,4,0,0.36363636363636365,,0.15384615384615385,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,5,True,80680.0,86500.0,90500.0,86700.0,88580.0,True,1880.0,1,15,1,5,0,0.3333333333333333,0.0,0.17857142857142858,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,6,True,80540.0,86500.0,90500.0,86700.0,87040.0,True,340.0,1,3,1,3,1,1.0,1.0,0.1,0.03333333333333333,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,7,True,80640.0,86500.0,90500.0,86700.0,88460.0,True,1760.0,0,12,0,4,0,0.3333333333333333,,0.16666666666666666,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,5,True,80480.0,87000.0,91000.0,87200.0,89820.0,True,2620.0,0,13,0,5,0,0.38461538461538464,,0.17857142857142858,0.0,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,6,True,80420.0,87000.0,91000.0,87200.0,87820.0,True,620.0,1,4,1,3,1,0.75,1.0,0.13043478260869565,0.043478260869565216,SOFT
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,7,True,80400.0,87000.0,91000.0,87200.0,89680.0,True,2480.0,5,18,5,5,2,0.2777777777777778,0.4,0.21739130434782608,0.08695652173913043,SOFT
D4_HARD_ROLE_ABSENCE,42,5,True,80680.0,85000.0,89000.0,85000.0,87520.0,True,2520.0,0,14,0,5,0,0.35714285714285715,,0.18518518518518517,0.0,HARD
D4_HARD_ROLE_ABSENCE,42,6,True,80640.0,85000.0,89000.0,85000.0,86340.0,True,1340.0,0,3,0,3,0,1.0,,0.15789473684210525,0.0,HARD
D4_HARD_ROLE_ABSENCE,42,7,True,80580.0,85000.0,89000.0,85000.0,86860.0,True,1860.0,0,18,0,4,0,0.2222222222222222,,0.14285714285714285,0.0,HARD
D4_HARD_ROLE_ABSENCE,99,5,True,80500.0,85500.0,89500.0,85500.0,87980.0,True,2480.0,0,19,0,8,0,0.42105263157894735,,0.2962962962962963,0.0,HARD
D4_HARD_ROLE_ABSENCE,99,6,True,80800.0,85500.0,89500.0,85500.0,86320.0,True,820.0,0,3,0,3,0,1.0,,0.08823529411764706,0.0,HARD
D4_HARD_ROLE_ABSENCE,99,7,True,80640.0,85500.0,89500.0,85500.0,87540.0,True,2040.0,0,18,0,4,0,0.2222222222222222,,0.14814814814814814,0.0,HARD
