scenario_id,seed,arch,tasks,bypasses,wrong_bypasses,fallbacks,fallback_rate,active_window_bypasses,active_window_wrong_bypasses,active_window_fallbacks,clean_window_tasks,clean_window_bypasses,clean_window_fallbacks,shape_denials,evidence_invalidity_denials,hard_failure_denials,soft_degradation_denials,restoring_denials,unnecessary_reconstruction_triggers
D0_CLEAN_CONTROL,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,6000,0,0,0,0,0,0,0,0
D0_CLEAN_CONTROL,42,B_NAIVE_CACHE,6000,5442,32,558,0.093,0,0,0,6000,5442,558,0,0,0,0,0,0
D0_CLEAN_CONTROL,42,C_FLAT_BOUNDED,6000,5336,21,664,0.11066666666666666,0,0,0,6000,5336,664,0,0,0,0,0,0
D0_CLEAN_CONTROL,42,D_TETRAHEDRAL_GATE,6000,5336,21,664,0.11066666666666666,0,0,0,6000,5336,664,0,0,0,0,0,0
D0_CLEAN_CONTROL,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,6000,0,0,0,0,0,0,0,0
D0_CLEAN_CONTROL,99,B_NAIVE_CACHE,6000,5429,38,571,0.09516666666666666,0,0,0,6000,5429,571,0,0,0,0,0,0
D0_CLEAN_CONTROL,99,C_FLAT_BOUNDED,6000,5339,31,661,0.11016666666666666,0,0,0,6000,5339,661,0,0,0,0,0,0
D0_CLEAN_CONTROL,99,D_TETRAHEDRAL_GATE,6000,5339,31,661,0.11016666666666666,0,0,0,6000,5339,661,0,0,0,0,0,0
D0_CLEAN_CONTROL,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,6000,0,0,0,0,0,0,0,0
D0_CLEAN_CONTROL,500,B_NAIVE_CACHE,6000,5453,29,547,0.09116666666666666,0,0,0,6000,5453,547,0,0,0,0,0,0
D0_CLEAN_CONTROL,500,C_FLAT_BOUNDED,6000,5355,21,645,0.1075,0,0,0,6000,5355,645,0,0,0,0,0,0
D0_CLEAN_CONTROL,500,D_TETRAHEDRAL_GATE,6000,5355,21,645,0.1075,0,0,0,6000,5355,645,0,0,0,0,0,0
D0_CLEAN_CONTROL,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,6000,0,0,0,0,0,0,0,0
D0_CLEAN_CONTROL,777,B_NAIVE_CACHE,6000,5432,30,568,0.09466666666666666,0,0,0,6000,5432,568,0,0,0,0,0,0
D0_CLEAN_CONTROL,777,C_FLAT_BOUNDED,6000,5348,24,652,0.10866666666666666,0,0,0,6000,5348,652,0,0,0,0,0,0
D0_CLEAN_CONTROL,777,D_TETRAHEDRAL_GATE,6000,5348,24,652,0.10866666666666666,0,0,0,6000,5348,652,0,0,0,0,0,0
D0_CLEAN_CONTROL,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,6000,0,0,0,0,0,0,0,0
D0_CLEAN_CONTROL,1337,B_NAIVE_CACHE,6000,5420,31,580,0.09666666666666666,0,0,0,6000,5420,580,0,0,0,0,0,0
D0_CLEAN_CONTROL,1337,C_FLAT_BOUNDED,6000,5319,24,681,0.1135,0,0,0,6000,5319,681,0,0,0,0,0,0
D0_CLEAN_CONTROL,1337,D_TETRAHEDRAL_GATE,6000,5319,24,681,0.1135,0,0,0,6000,5319,681,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5990,0,0,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,42,B_NAIVE_CACHE,6000,5432,28,568,0.09466666666666666,5,0,5,5990,5427,563,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,42,C_FLAT_BOUNDED,6000,5305,18,695,0.11583333333333333,5,0,5,5990,5300,690,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,42,D_TETRAHEDRAL_GATE,6000,5305,18,695,0.11583333333333333,5,0,5,5990,5300,690,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5990,0,0,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,99,B_NAIVE_CACHE,6000,5445,30,555,0.0925,10,0,0,5990,5435,555,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,99,C_FLAT_BOUNDED,6000,5375,28,625,0.10416666666666667,10,0,0,5990,5365,625,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,99,D_TETRAHEDRAL_GATE,6000,5375,28,625,0.10416666666666667,10,0,0,5990,5365,625,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5990,0,0,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,500,B_NAIVE_CACHE,6000,5439,25,561,0.0935,10,0,0,5990,5429,561,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,500,C_FLAT_BOUNDED,6000,5345,17,655,0.10916666666666666,10,0,0,5990,5335,655,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,500,D_TETRAHEDRAL_GATE,6000,5345,17,655,0.10916666666666666,10,0,0,5990,5335,655,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5990,0,0,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,777,B_NAIVE_CACHE,6000,5454,28,546,0.091,9,0,1,5990,5445,545,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,777,C_FLAT_BOUNDED,6000,5341,20,659,0.10983333333333334,9,0,1,5990,5332,658,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,777,D_TETRAHEDRAL_GATE,6000,5341,20,659,0.10983333333333334,9,0,1,5990,5332,658,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5990,0,0,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,1337,B_NAIVE_CACHE,6000,5426,34,574,0.09566666666666666,8,0,2,5990,5418,572,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,1337,C_FLAT_BOUNDED,6000,5320,24,680,0.11333333333333333,8,0,2,5990,5312,678,0,0,0,0,0,0
D1_TRANSIENT_SOFT_IMBALANCE,1337,D_TETRAHEDRAL_GATE,6000,5320,24,680,0.11333333333333333,8,0,2,5990,5312,678,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,42,B_NAIVE_CACHE,6000,5030,43,970,0.16166666666666665,131,6,69,5790,4892,898,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,42,C_FLAT_BOUNDED,6000,4925,40,1075,0.17916666666666667,134,10,66,5790,4784,1006,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,42,D_TETRAHEDRAL_GATE,6000,4791,31,1209,0.2015,7,1,193,5790,4784,1006,200,0,0,190,10,0
D2_PERSISTENT_SOFT_IMBALANCE,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,99,B_NAIVE_CACHE,6000,4997,46,1003,0.16716666666666666,132,8,68,5790,4860,930,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,99,C_FLAT_BOUNDED,6000,4906,39,1094,0.18233333333333332,134,11,66,5790,4767,1023,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,99,D_TETRAHEDRAL_GATE,6000,4775,29,1225,0.20416666666666666,8,1,192,5790,4767,1023,200,0,0,190,10,0
D2_PERSISTENT_SOFT_IMBALANCE,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,500,B_NAIVE_CACHE,6000,5051,50,949,0.15816666666666668,134,10,66,5790,4909,881,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,500,C_FLAT_BOUNDED,6000,4966,46,1034,0.17233333333333334,133,12,67,5790,4825,965,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,500,D_TETRAHEDRAL_GATE,6000,4835,34,1165,0.19416666666666665,10,0,190,5790,4825,965,200,0,0,190,10,0
D2_PERSISTENT_SOFT_IMBALANCE,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,777,B_NAIVE_CACHE,6000,5056,45,944,0.15733333333333333,131,7,69,5790,4920,870,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,777,C_FLAT_BOUNDED,6000,4951,38,1049,0.17483333333333334,134,10,66,5790,4812,978,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,777,D_TETRAHEDRAL_GATE,6000,4823,31,1177,0.19616666666666666,7,2,193,5790,4816,974,200,0,0,190,10,0
D2_PERSISTENT_SOFT_IMBALANCE,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,1337,B_NAIVE_CACHE,6000,5116,52,884,0.14733333333333334,143,9,57,5790,4965,825,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,1337,C_FLAT_BOUNDED,6000,5024,45,976,0.16266666666666665,146,11,54,5790,4870,920,0,0,0,0,0,0
D2_PERSISTENT_SOFT_IMBALANCE,1337,D_TETRAHEDRAL_GATE,6000,4880,33,1120,0.18666666666666668,9,0,191,5790,4871,919,200,0,0,190,10,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,B_NAIVE_CACHE,6000,5017,52,983,0.16383333333333333,128,7,72,5790,4884,906,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,C_FLAT_BOUNDED,6000,4922,47,1078,0.17966666666666667,130,10,70,5790,4787,1003,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,42,D_TETRAHEDRAL_GATE,6000,4797,39,1203,0.2005,10,2,190,5790,4787,1003,200,0,0,190,10,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,B_NAIVE_CACHE,6000,5024,51,976,0.16266666666666665,151,9,49,5790,4867,923,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,C_FLAT_BOUNDED,6000,4951,51,1049,0.17483333333333334,152,11,48,5790,4794,996,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,99,D_TETRAHEDRAL_GATE,6000,4801,41,1199,0.19983333333333334,7,1,193,5790,4794,996,200,0,0,190,10,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,B_NAIVE_CACHE,6000,5032,47,968,0.16133333333333333,122,10,78,5790,4903,887,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,C_FLAT_BOUNDED,6000,4941,43,1059,0.1765,123,12,77,5790,4811,979,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,500,D_TETRAHEDRAL_GATE,6000,4820,34,1180,0.19666666666666666,8,3,192,5790,4812,978,200,0,0,190,10,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,B_NAIVE_CACHE,6000,5030,52,970,0.16166666666666665,132,10,68,5790,4892,898,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,C_FLAT_BOUNDED,6000,4936,51,1064,0.17733333333333334,131,12,69,5790,4799,991,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,777,D_TETRAHEDRAL_GATE,6000,4807,40,1193,0.19883333333333333,8,1,192,5790,4799,991,200,0,0,190,10,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,B_NAIVE_CACHE,6000,5055,50,945,0.1575,130,10,70,5790,4919,871,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,C_FLAT_BOUNDED,6000,4962,46,1038,0.173,136,13,64,5790,4820,970,0,0,0,0,0,0
D3_PERSISTENT_PROBE_LATENCY_SKEW,1337,D_TETRAHEDRAL_GATE,6000,4832,36,1168,0.19466666666666665,8,3,192,5790,4824,966,200,0,0,190,10,0
D4_HARD_ROLE_ABSENCE,42,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,42,B_NAIVE_CACHE,6000,5001,52,999,0.1665,131,9,69,5790,4863,927,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,42,C_FLAT_BOUNDED,6000,4896,50,1104,0.184,134,12,66,5790,4755,1035,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,42,D_TETRAHEDRAL_GATE,6000,4758,39,1242,0.207,0,0,200,5790,4758,1032,210,0,200,0,10,0
D4_HARD_ROLE_ABSENCE,99,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,99,B_NAIVE_CACHE,6000,5043,52,957,0.1595,121,11,79,5790,4917,873,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,99,C_FLAT_BOUNDED,6000,4952,52,1048,0.17466666666666666,127,15,73,5790,4820,970,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,99,D_TETRAHEDRAL_GATE,6000,4820,37,1180,0.19666666666666666,0,0,200,5790,4820,970,210,0,200,0,10,0
D4_HARD_ROLE_ABSENCE,500,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,500,B_NAIVE_CACHE,6000,5032,49,968,0.16133333333333333,133,7,67,5790,4893,897,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,500,C_FLAT_BOUNDED,6000,4942,44,1058,0.17633333333333334,138,10,62,5790,4799,991,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,500,D_TETRAHEDRAL_GATE,6000,4801,34,1199,0.19983333333333334,0,0,200,5790,4801,989,210,0,200,0,10,0
D4_HARD_ROLE_ABSENCE,777,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,777,B_NAIVE_CACHE,6000,5069,50,931,0.15516666666666667,132,9,68,5790,4931,859,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,777,C_FLAT_BOUNDED,6000,4968,41,1032,0.172,134,11,66,5790,4830,960,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,777,D_TETRAHEDRAL_GATE,6000,4830,30,1170,0.195,0,0,200,5790,4830,960,210,0,200,0,10,0
D4_HARD_ROLE_ABSENCE,1337,A_FULL_ANALYSIS,6000,0,0,0,0.0,0,0,0,5790,0,0,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,1337,B_NAIVE_CACHE,6000,5097,53,903,0.1505,137,13,63,5790,4953,837,0,0,0,0,0,0
D4_HARD_ROLE_ABSENCE,1337,C_FLAT_BOUNDED,6000,4999,53,1001,0.16683333333333333,135,14,65,5790,4857,933,0,0,0,0,0,0
