scenario,fingerprint,scar_class,event_decision,scar_written,match_result,failure_count
S01_dependent_route_revoked,a7dbd9974bb72a1198f27d62729fa346ab8c2b919ed3226e0a183e1b7865d419,HARD,WRITE_SCAR,True,WRITTEN,1
S02_independent_route_preserved,4f4ac2016239a6db1dad0c5c27e5856e298f53862391c9329c3c2f9fd7369581,HARD,WRITE_SCAR,True,WRITTEN,1
S04_invalid_evidence,136d374e4b100c9073f27a168f3950261c446778d7fe7c0b4dc702006c65ed30,HARD,NO_SCAR:betrayed_authority:stale,False,NOT_WRITTEN,0
S05_betrayed_authority_writes_scar,789f80ee4b5cc3d141807329f71ef00c610c44b8e1d695c62b544fbc011db65d,HARD,WRITE_SCAR,True,WRITTEN,1
S06_cheap_retry_no_scar,98a1bfb378579f8318b8fc0435798f6a5a91d79efd32c5ec61259a29e9b7ac5e,HARD,NO_SCAR:cheap_retry:valid,False,NOT_WRITTEN,0
S07_non_admitted_no_scar,dcc7ce3bc3f49b802bd4874c2bda7eb312d441138e05791a6ce1e9d63b44961c,HARD,NO_SCAR:non_admitted_candidate:valid,False,NOT_WRITTEN,0
S08_hard_scar_blocks_reconstruction,01f59747d0318f8de8c127fa1dfc88754f7cf54bc273c618e5dbd9ad650b842b,HARD,LOOKUP,False,REJECT_AS_IS,1
S09_soft_and_restoration_require_extra_proof,soft_fp,SOFT,LOOKUP,False,REQUIRE_EXTRA_PROOF,2
S09_soft_and_restoration_require_extra_proof,restoration_fp,RESTORATION,LOOKUP,False,REQUIRE_EXTRA_PROOF,1
S10_replacement_enters_requalification,43f128a1a381a5a62444c1aad7353ff33e5aa439eb9a7029dde27e57e71f8041,NONE,LOOKUP,False,NO_MATCH,0
S11_load_transfer_success,83def140382e4513dae37f875047c930dde5835f2837f40aa9b2d26db47c420e,HARD,WRITE_SCAR,True,WRITTEN,1
S12_load_transfer_failure,1f5c750d1ae631c888a9f0b223870cafbe420b1aba04bf2b99cedefc26b27b5c,HARD,WRITE_SCAR,True,WRITTEN,1
