child_cell_id,child_scope,child_structural_epoch,child_initial_state,child_final_state,child_c_success,child_shape_integrity,child_active_authority,child_bypass_permission,requalification_progress,requalification_threshold,child_fingerprint,extra_proof_required,inherited_constraints,rejected_constraints,scenario
child_hard,child_scope,epoch_1,RECONSTRUCTING,REJECTED,,UNKNOWN,False,False,0,5,f0efc44ba53c3df416d0e5d5006ea9eee84de78c28ec1e25ad83d69a570d3f00,False,f0efc44ba53c3df416d0e5d5006ea9eee84de78c28ec1e25ad83d69a570d3f00,,S01_hard_scar_inherited
child_soft,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,5f0a1e24a7483a8a61562891b4649d0f196377be60459f4842b7b65f0395fc26,True,5f0a1e24a7483a8a61562891b4649d0f196377be60459f4842b7b65f0395fc26,,S02_soft_scar_inherited
child_rest,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,a14e5ce065875c0b636ea268e31680d1d182cd9f8fde4f90fef1eaf9f605c463,True,a14e5ce065875c0b636ea268e31680d1d182cd9f8fde4f90fef1eaf9f605c463,,S03_restoration_scar_inherited
child_nomatch,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,5de44a7e7c646f6d1b31b8fb4a9c2cca877c33438786c4db85e855bdf85010b7,False,,,S04_no_scar_match
child_active_contam,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,fff352c98dadbf8a470a3ef4f665260083cfbc01a8792ecb57f57b34cbfce2c4,False,,contains_active_authority,S05_active_authority_contamination
child_route_conf,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,4c0b7f3057efcf32e921fdc240e7fba3e97727e5ab0c242fef11e0803646707c,False,,contains_route_confidence_as_authority,S06_route_confidence_contamination
child_shape,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,edcc64959e5a3c01521bdaeadf8b466b4ecd72de34cc99f03156b2de4cf0018e,False,,contains_parent_shape_integrity_as_authority,S07_shape_integrity_contamination
child_history,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,30d4c9ff4c129300ad7a1093a23fb003bb7565c1a3ae3ab9fb428eadfb41bb40,False,,contains_full_history,S08_full_history_rejected
child_stale,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,c7e8a244852080ee573ce4964176517112e5025c65d83fe1f662a5e7865a3542,False,,stale_packet,S09_stale_packet
child_epoch,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,c74774e5a568522d2144dc5d5c9350927762998c967c75e0ce594497d69be96f,False,,epoch_mismatch,S10_epoch_mismatch
child_scope,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,3296442040460d93e58c92daa359483dc91945c4d37c20d0a94b840543fbf4bc,False,,unknown_scope,S11_unknown_scope
child_overlap,role_edge_region_A,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,cae94ce6713eb6ba594b1a8cecd538f204d3e5c15270427ef8a63e7808c077d5,False,constraint_region_A_only,,S12_narrower_proven_overlap
child_noactive,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,6a5a844cb1ac8ab4c7d3d59b5f7d68937027fbd82b2b3039f71df988f5fdad6a,False,,,S13_no_direct_active
child_partial,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,3,5,40c6b40124abe77e179c7b1385cd3958878613aa1275ecb28ac314d015a72a8c,False,,,S14_partial_requalification_failure
child_post_authority,child_scope,epoch_1,RECONSTRUCTING,ACTIVE,,UNKNOWN,True,True,5,5,c373a637174835cdf4851e85a3cf70dc1cba9fd63a966e27921b13ce04c18471,False,,,S15_post_authority_child_failure
child_repeat_contam_0,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,32068fbd586168e949d782d6af6194e519d57a7e05976fd3249553f2be246aab,False,,contains_active_authority,S16_repeated_contaminated_source
child_repeat_contam_1,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,9509d3649bb5e31330c24ab0b91611d704ddee88076aa2bdc3c1ba262b2be6d0,False,,contains_active_authority,S16_repeated_contaminated_source
child_repeat_contam_2,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,225da2d3135cc4091e2058bf381f47a772aa69c1735dc0cdc154c89f72f202d8,False,,contains_active_authority,S16_repeated_contaminated_source
child_isolation,child_scope,epoch_1,RECONSTRUCTING,REQUALIFYING,,UNKNOWN,False,False,0,5,5b558c1dddbe4cf79bbec241520ec8e31d9656ff86c42d2052935cc3ba992d1e,True,,,S17_isolation_checks
