scenario,child_cell_id,inherited_constraints,rejected_constraints,decision
S01_hard_scar_inherited,child_hard,f0efc44ba53c3df416d0e5d5006ea9eee84de78c28ec1e25ad83d69a570d3f00,,REJECT_AS_IS
S02_soft_scar_inherited,child_soft,5f0a1e24a7483a8a61562891b4649d0f196377be60459f4842b7b65f0395fc26,,REQUIRE_EXTRA_PROOF
S03_restoration_scar_inherited,child_rest,a14e5ce065875c0b636ea268e31680d1d182cd9f8fde4f90fef1eaf9f605c463,,REQUIRE_EXTRA_PROOF
S04_no_scar_match,child_nomatch,,,NO_SCAR_MATCH
S05_active_authority_contamination,child_active_contam,,contains_active_authority,PACKET_REJECTED
S06_route_confidence_contamination,child_route_conf,,contains_route_confidence_as_authority,PACKET_REJECTED
S07_shape_integrity_contamination,child_shape,,contains_parent_shape_integrity_as_authority,PACKET_REJECTED
S08_full_history_rejected,child_history,,contains_full_history,PACKET_REJECTED
S09_stale_packet,child_stale,,stale_packet,PACKET_REJECTED
S10_epoch_mismatch,child_epoch,,epoch_mismatch,PACKET_REJECTED
S11_unknown_scope,child_scope,,unknown_scope,PACKET_REJECTED
S12_narrower_proven_overlap,child_overlap,constraint_region_A_only,,NO_SCAR_MATCH
S13_no_direct_active,child_noactive,,,NO_SCAR_MATCH
S16_repeated_contaminated_source,child_repeat_contam_0,,contains_active_authority,PACKET_REJECTED
S16_repeated_contaminated_source,child_repeat_contam_1,,contains_active_authority,PACKET_REJECTED
S16_repeated_contaminated_source,child_repeat_contam_2,,contains_active_authority,PACKET_REJECTED
S17_isolation_checks,child_isolation,,,REQUIRE_EXTRA_PROOF
