packet_id,parent_cell_id,child_cell_id,structural_epoch,lineage_boundary,source,timestamp_status,provenance_status,scope_status,scope_overlap_proven,verification_status,contains_active_authority,contains_full_history,contains_route_confidence_as_authority,contains_parent_shape_integrity_as_authority,scar_fingerprints,blocked_candidates,required_extra_proof,scope_limits,requalification_required,overlapping_constraints,scenario,accepted_for_inheritance,rejection_reason
packet_S01_hard_scar_inherited,parent_hard,child_hard,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,f0efc44ba53c3df416d0e5d5006ea9eee84de78c28ec1e25ad83d69a570d3f00,,False,,True,,S01_hard_scar_inherited,True,
packet_S02_soft_scar_inherited,parent_soft,child_soft,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,5f0a1e24a7483a8a61562891b4649d0f196377be60459f4842b7b65f0395fc26,,False,,True,,S02_soft_scar_inherited,True,
packet_S03_restoration_scar_inherited,parent_rest,child_rest,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,a14e5ce065875c0b636ea268e31680d1d182cd9f8fde4f90fef1eaf9f605c463,,False,,True,,S03_restoration_scar_inherited,True,
packet_S04_no_scar_match,parent_nomatch,child_nomatch,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,,,False,,True,,S04_no_scar_match,True,
packet_S05_active_authority_contamination,parent_active_contam,child_active_contam,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,True,False,False,False,,,False,,True,,S05_active_authority_contamination,False,contains_active_authority
packet_S06_route_confidence_contamination,parent_route_conf,child_route_conf,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,True,False,,,False,,True,,S06_route_confidence_contamination,False,contains_route_confidence_as_authority
packet_S07_shape_integrity_contamination,parent_shape,child_shape,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,True,,,False,,True,,S07_shape_integrity_contamination,False,contains_parent_shape_integrity_as_authority
packet_S08_full_history_rejected,parent_history,child_history,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,True,False,False,,,False,,True,,S08_full_history_rejected,False,contains_full_history
packet_S09_stale_packet,parent_stale,child_stale,epoch_1,local_boundary,authorized_recovery_layer,stale,valid,matching,False,verified,False,False,False,False,,,False,,True,,S09_stale_packet,False,stale_packet
packet_S10_epoch_mismatch,parent_epoch,child_epoch,epoch_old,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,,,False,,True,,S10_epoch_mismatch,False,epoch_mismatch
packet_S11_unknown_scope,parent_scope,child_scope,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,unknown,False,verified,False,False,False,False,,,False,,True,,S11_unknown_scope,False,unknown_scope
packet_S12_narrower_proven_overlap,parent_overlap,child_overlap,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,overlap,True,verified,False,False,False,False,,,False,region_A,True,constraint_region_A_only,S12_narrower_proven_overlap,True,
packet_S13_no_direct_active,parent_noactive,child_noactive,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,,,False,,True,,S13_no_direct_active,True,
packet_S16_repeated_contaminated_source_0,parent_repeat_contam,child_repeat_contam_0,epoch_1,local_boundary,source_with_repeated_contamination,fresh,valid,matching,False,verified,True,False,False,False,,,False,,True,,S16_repeated_contaminated_source,False,contains_active_authority
packet_S16_repeated_contaminated_source_1,parent_repeat_contam,child_repeat_contam_1,epoch_1,local_boundary,source_with_repeated_contamination,fresh,valid,matching,False,verified,True,False,False,False,,,False,,True,,S16_repeated_contaminated_source,False,contains_active_authority
packet_S16_repeated_contaminated_source_2,parent_repeat_contam,child_repeat_contam_2,epoch_1,local_boundary,source_with_repeated_contamination,fresh,valid,matching,False,verified,True,False,False,False,,,False,,True,,S16_repeated_contaminated_source,False,contains_active_authority
packet_S17_isolation_checks,parent_isolation,child_isolation,epoch_1,local_boundary,authorized_recovery_layer,fresh,valid,matching,False,verified,False,False,False,False,,,False,,True,,S17_isolation_checks,True,
