scenario,event_type,decision,details
S01_hard_scar_inherited,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,REJECT_AS_IS
S02_soft_scar_inherited,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,REQUIRE_EXTRA_PROOF
S03_restoration_scar_inherited,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,REQUIRE_EXTRA_PROOF
S04_no_scar_match,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,NO_SCAR_MATCH
S05_active_authority_contamination,lineage_packet,REJECTED,contains_active_authority
S06_route_confidence_contamination,lineage_packet,REJECTED,contains_route_confidence_as_authority
S07_shape_integrity_contamination,lineage_packet,REJECTED,contains_parent_shape_integrity_as_authority
S08_full_history_rejected,lineage_packet,REJECTED,contains_full_history
S09_stale_packet,lineage_packet,REJECTED,stale_packet
S10_epoch_mismatch,lineage_packet,REJECTED,epoch_mismatch
S11_unknown_scope,lineage_packet,REJECTED,unknown_scope
S12_narrower_proven_overlap,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,NO_SCAR_MATCH
S13_no_direct_active,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,NO_SCAR_MATCH
S14_partial_requalification_failure,child_failure,NO_SCAR_NO_AUTHORITY,REQUALIFYING
S15_post_authority_child_failure,child_failure,WRITE_CHILD_SCAR,c373a637174835cdf4851e85a3cf70dc1cba9fd63a966e27921b13ce04c18471
S16_repeated_contaminated_source,lineage_packet,REJECTED,contains_active_authority
S16_repeated_contaminated_source,lineage_packet,REJECTED,contains_active_authority
S16_repeated_contaminated_source,lineage_packet,REJECTED,contains_active_authority
S17_isolation_checks,lineage_packet,ACCEPTED_FOR_CONSTRAINTS,REQUIRE_EXTRA_PROOF
