scenario,packet_id,scope_status,scope_overlap_proven,scope_limits,overlapping_constraints,decision,inherited_scope
S01_hard_scar_inherited,packet_S01_hard_scar_inherited,matching,False,,,MATCHING_OR_LIMITED,matching
S02_soft_scar_inherited,packet_S02_soft_scar_inherited,matching,False,,,MATCHING_OR_LIMITED,matching
S03_restoration_scar_inherited,packet_S03_restoration_scar_inherited,matching,False,,,MATCHING_OR_LIMITED,matching
S04_no_scar_match,packet_S04_no_scar_match,matching,False,,,MATCHING_OR_LIMITED,matching
S05_active_authority_contamination,packet_S05_active_authority_contamination,matching,False,,,REJECTED,
S06_route_confidence_contamination,packet_S06_route_confidence_contamination,matching,False,,,REJECTED,
S07_shape_integrity_contamination,packet_S07_shape_integrity_contamination,matching,False,,,REJECTED,
S08_full_history_rejected,packet_S08_full_history_rejected,matching,False,,,REJECTED,
S09_stale_packet,packet_S09_stale_packet,matching,False,,,REJECTED,
S10_epoch_mismatch,packet_S10_epoch_mismatch,matching,False,,,REJECTED,
S11_unknown_scope,packet_S11_unknown_scope,unknown,False,,,REJECTED,
S12_narrower_proven_overlap,packet_S12_narrower_proven_overlap,overlap,True,region_A,constraint_region_A_only,OVERLAP_ONLY,constraint_region_A_only
S13_no_direct_active,packet_S13_no_direct_active,matching,False,,,MATCHING_OR_LIMITED,matching
S16_repeated_contaminated_source,packet_S16_repeated_contaminated_source_0,matching,False,,,REJECTED,
S16_repeated_contaminated_source,packet_S16_repeated_contaminated_source_1,matching,False,,,REJECTED,
S16_repeated_contaminated_source,packet_S16_repeated_contaminated_source_2,matching,False,,,REJECTED,
S17_isolation_checks,packet_S17_isolation_checks,matching,False,,,MATCHING_OR_LIMITED,matching
