time_ms,pattern_id,phase,route_quality,candidate_admissible,candidate_latency_ms,candidate_cost,relapse_phase,route_class,degradation_onset_ms
0.0,2,stable,1.0,True,6.161858715399438,0.3,STABLE,CONTROL,86000.0
20.0,0,stable,1.0,True,8.08381585663428,0.3,STABLE,PERSISTENT_FAILURE,86000.0
40.0,5,stable,1.0,True,4.986515522803686,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
60.0,2,stable,1.0,True,6.839352610977404,0.3,STABLE,CONTROL,86000.0
80.0,5,stable,1.0,True,8.468170799830558,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
100.0,6,stable,1.0,True,8.635371382216283,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
120.0,2,stable,1.0,True,7.626300713329483,0.3,STABLE,CONTROL,86000.0
140.0,4,stable,1.0,True,8.199328036819212,0.3,STABLE,CONTROL,86000.0
160.0,3,stable,1.0,True,9.722805546874067,0.3,STABLE,CONTROL,86000.0
180.0,2,stable,1.0,True,7.9564612501832075,0.3,STABLE,CONTROL,86000.0
200.0,7,stable,1.0,True,8.121863026728297,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
220.0,3,stable,1.0,True,8.521134497316385,0.3,STABLE,CONTROL,86000.0
240.0,1,stable,1.0,True,10.403414837748645,0.3,STABLE,CONTROL,86000.0
260.0,4,stable,1.0,True,7.431222082170839,0.3,STABLE,CONTROL,86000.0
280.0,4,stable,1.0,True,5.6925696250488755,0.3,STABLE,CONTROL,86000.0
300.0,1,stable,1.0,True,4.47224262055995,0.3,STABLE,CONTROL,86000.0
320.0,0,stable,1.0,True,5.423206979704441,0.3,STABLE,PERSISTENT_FAILURE,86000.0
340.0,7,stable,1.0,True,7.108848102942018,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
360.0,0,stable,1.0,True,9.3242970472928,0.3,STABLE,PERSISTENT_FAILURE,86000.0
380.0,3,stable,1.0,True,14.256100718698935,0.3,STABLE,CONTROL,86000.0
400.0,6,stable,1.0,True,4.125763132590814,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
420.0,7,stable,1.0,True,10.56402929331226,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
440.0,2,stable,1.0,True,10.863663075574244,0.3,STABLE,CONTROL,86000.0
460.0,3,stable,1.0,True,7.226940957162874,0.3,STABLE,CONTROL,86000.0
480.0,3,stable,1.0,True,4.935380763969034,0.3,STABLE,CONTROL,86000.0
500.0,6,stable,1.0,True,5.908181313237094,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
520.0,5,stable,1.0,True,5.494676310304434,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
540.0,5,stable,1.0,True,7.381535277141539,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
560.0,3,stable,1.0,True,11.330908970170832,0.3,STABLE,CONTROL,86000.0
580.0,6,stable,1.0,True,6.25238726725376,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
600.0,0,stable,1.0,True,7.2070751033761855,0.3,STABLE,PERSISTENT_FAILURE,86000.0
620.0,5,stable,1.0,True,13.867150336664611,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
640.0,5,stable,1.0,True,7.185493529636377,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
660.0,4,stable,1.0,True,7.929996802743211,0.3,STABLE,CONTROL,86000.0
680.0,3,stable,1.0,True,8.543200922617373,0.3,STABLE,CONTROL,86000.0
700.0,2,stable,1.0,True,11.81098769153272,0.3,STABLE,CONTROL,86000.0
720.0,7,stable,1.0,True,6.6580137875531005,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
740.0,4,stable,1.0,True,3.4315200266674672,0.3,STABLE,CONTROL,86000.0
760.0,3,stable,1.0,True,5.966758114567852,0.3,STABLE,CONTROL,86000.0
780.0,4,stable,1.0,True,6.353263379833206,0.3,STABLE,CONTROL,86000.0
800.0,7,stable,1.0,True,6.073349700795246,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
820.0,4,stable,1.0,True,4.73126789862568,0.3,STABLE,CONTROL,86000.0
840.0,5,stable,1.0,True,4.588971221010354,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
860.0,2,stable,1.0,True,7.297569292315015,0.3,STABLE,CONTROL,86000.0
880.0,3,stable,1.0,True,5.393594632696741,0.3,STABLE,CONTROL,86000.0
900.0,4,stable,1.0,True,10.574511942438203,0.3,STABLE,CONTROL,86000.0
920.0,1,stable,1.0,True,10.989664392047002,0.3,STABLE,CONTROL,86000.0
940.0,1,stable,1.0,True,7.963993872800123,0.3,STABLE,CONTROL,86000.0
960.0,4,stable,1.0,True,6.805774334452508,0.3,STABLE,CONTROL,86000.0
980.0,6,stable,1.0,True,13.988335670382394,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
1000.0,4,stable,1.0,True,3.5050598842342957,0.3,STABLE,CONTROL,86000.0
1020.0,1,stable,1.0,True,9.489443580112917,0.3,STABLE,CONTROL,86000.0
1040.0,0,stable,1.0,True,11.052088501649537,0.3,STABLE,PERSISTENT_FAILURE,86000.0
1060.0,7,stable,1.0,True,10.015059530352445,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
1080.0,3,stable,1.0,True,10.99733233079336,0.3,STABLE,CONTROL,86000.0
1100.0,2,stable,1.0,True,11.13224767916899,0.3,STABLE,CONTROL,86000.0
1120.0,3,stable,1.0,True,8.36640985632586,0.3,STABLE,CONTROL,86000.0
1140.0,3,stable,1.0,True,11.047016172655729,0.3,STABLE,CONTROL,86000.0
1160.0,5,stable,1.0,True,8.542269712780366,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
1180.0,0,stable,1.0,True,6.527724697101995,0.3,STABLE,PERSISTENT_FAILURE,86000.0
1200.0,2,stable,1.0,True,4.497997258260887,0.3,STABLE,CONTROL,86000.0
1220.0,0,stable,1.0,True,8.429901087916232,0.3,STABLE,PERSISTENT_FAILURE,86000.0
1240.0,5,stable,1.0,True,5.947002794152942,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
1260.0,5,stable,1.0,True,15.115010422353684,0.3,STABLE,BORDERLINE_RELAPSE,86000.0
