candidate_id,candidate_type,candidate_fingerprint,candidate_scope,candidate_structural_epoch,candidate_source,candidate_timestamp_status,candidate_provenance_status,candidate_verification_status,candidate_state,candidate_active_authority,candidate_bypass_permission,candidate_c_success,candidate_shape_integrity,scenario
candidate_hard_scar,child_cell,2fb39ea0f0724d5350959dc89a19f092420df614311b51de4ac0cce1fa496173,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_REJECTED,False,False,,UNKNOWN,S01_valid_hard_scar_match
candidate_soft_scar,child_cell,e9b4b9803bb1440840124a3217d6c9767f371c1ac5fee6828bdc444d960f16be,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_EXTRA_PROOF_REQUIRED,False,False,,UNKNOWN,S02_valid_soft_scar_match
candidate_restoration_scar,child_cell,3d0a965cb24b35d0d20869d2609af364c5029b651ca1d0b51d602b8394cca514,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_EXTRA_PROOF_REQUIRED,False,False,,UNKNOWN,S03_valid_restoration_scar_match
candidate_no_scar,child_cell,6b0928cedbf87f080ace7ddabdd1c10d980a3b0566549566e7c9980102dadd0f,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_PASSED_TO_REQUALIFICATION,False,False,,UNKNOWN,S04_no_scar_match
candidate_active_contam,child_cell,28b8ffe652bcca6e75148e8b1ec2234b8cc1af290676723276356ee582632b87,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S05_active_authority_contamination
candidate_bypass_contam,child_cell,c5e7b48ff486290a601e03af229b07026bab959f00a84baa88b3fc6445c8d307,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S06_bypass_permission_contamination
candidate_route_conf_contam,child_cell,efeca1a86721f99fe0dc2909bfd9b400d087fc27f51a988d6320ce8ad46ee927,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S07_route_confidence_as_authority
candidate_shape_contam,child_cell,314c0def69632e69278bc2f2924f210e73db8aaea0f809daa747369c3682002e,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S08_parent_shape_integrity_as_authority
candidate_full_history,child_cell,c30a1bde5f2be659bda55bc5100ed12a8b95d7b1b39309b8bec5f09d669ad011,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S09_full_history_as_admission
candidate_stale,child_cell,9a2c1d208d9130bc4d5399428e5fc14895e102c2162fb18a5fccd4abd584c453,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S10_stale_evidence
candidate_bad_provenance,child_cell,a62fb8fc17a851371cfb6bcc98cf6839360d9a74feee71cee22cded3ea96ac32,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S11_invalid_provenance
candidate_epoch,child_cell,ee8e88b0c4a6ded8aa69da10411d969ac00a20ce0ce5e4bd1f549c6f0ee7ddb9,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S12_epoch_mismatch
candidate_unknown_scope,child_cell,163716acdd6696cc248da9f3711d1c591d2dedb124a036bf2605c35f5d9e3826,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S13_unknown_scope
candidate_overlap,child_cell,0e8f8c27c1410b89b958d674c78761c3d76e92c6f6b911a97ffbf8a9f0e69520,region_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_PASSED_TO_REQUALIFICATION,False,False,,UNKNOWN,S14_narrower_proven_overlap
candidate_no_lineage,child_cell,5626cca06d74bc7c7ac94d0c651d2821dd44b7942b5bdd8e6595e7bebf4eee9f,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_PASSED_TO_REQUALIFICATION,False,False,,UNKNOWN,S15_no_lineage_packet
candidate_bad_lineage,child_cell,c977d09615b521d0a7a4840c40d0b473cd84a5c1204c004f7bb0919c2444e7aa,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S16_invalid_lineage_dependency
candidate_hard_lineage,child_cell,66b04e6bf4fc63e58b4b24f42b7205faa1a9109315270fef4a5f7616379c40f1,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_REJECTED,False,False,,UNKNOWN,S17_valid_hard_lineage_constraint
candidate_soft_lineage,child_cell,3f76484977ddf8e006792764b661af83b9abf06a1ed06ec2ea5fc8215d428ef3,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_EXTRA_PROOF_REQUIRED,False,False,,UNKNOWN,S18_valid_soft_lineage_constraint
candidate_contam_hard_scar,child_cell,c2dd497f218b9231822be534c6ecf49a2e743a5c2986d9047c41eb49eac043a3,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S19_contamination_precedence
candidate_isolation,child_cell,980e5d0e286601d9ceefe0ab03116297da3ea759adbdc0ca7e6fce22bebbc762,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_EXTRA_PROOF_REQUIRED,False,False,0.51,CURRENT_VERIFIED,S20_isolation_checks
candidate_repeat_contam_0,child_cell,b2ef476635eb4791af920bb6317f60045ddbb65d8ea84f99ceb47c20dbd17c4f,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S21_repeated_contaminated_source
candidate_repeat_contam_1,child_cell,8424cea1f6312fac55b343be28c7299b01188b2dae3766dae7302f39a1f2f728,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S21_repeated_contaminated_source
candidate_repeat_contam_2,child_cell,79eab7c6aec18d1d1d2a40b96f1c75f399ef8defd2685a9ccd8db1a0ef91d2df,scope_A,epoch_1,authorized_recovery_layer,fresh,valid,verified,FILTER_QUARANTINED,False,False,,UNKNOWN,S21_repeated_contaminated_source
