scenario_id,event_class,fingerprint_available,fingerprint,scar_written,scar_response,failure_count,detail
F0,FINGERPRINT_TEST,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,fp_a=e0280314b618851d... fp_b=e0280314b618851d... match=True
F1,FINGERPRINT_TEST,True,c016e0df4cc8d710864ec22c97d046052d40f3465943ec007336106c1101daaa,False,,,baseline vs modified: mismatch=True
F2,FINGERPRINT_TEST,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,same geom diff invariant class: match=True
F3,FINGERPRINT_TEST,False,,False,,,coord_y=None → fingerprint=None
A0,NON_ADMITTED_REJECT,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,
A1,CHEAP_RETRY_FAILURE,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,
A2,EVIDENCE_INVALIDITY,False,,False,,,valid_structural_evidence=False → no scar
A3,AUTHORIZED_BUT_NO_COMPLETED_OPERATION,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,
A4,AUTHORITY_ESTABLISHED,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,"authority established, no failure yet"
S0,TRANSIENT_SOFT_WARNING_BELOW_PERSISTENCE,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,soft_count=2 classify=TRANSIENT_SOFT_WARNING → gate_effective=False
S1,AUTHORIZED_HARD_STRUCTURAL_FAILURE,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,True,REJECT_AS_IS,1,
S2,AUTHORIZED_GATE_EFFECTIVE_SOFT_DEGRADATION,True,2dbd8e41e5e8e4e1890f9004bd993a1d2801f36364ce30156385193288e85aaa,True,REQUIRE_EXTRA_PROOF,1,
S3,AUTHORIZED_RESTORATION_FAILURE,True,0678b6b598cc5864ae53bca739839eab222fc554f65cd9ddedeeea02294f563f,True,REQUIRE_EXTRA_PROOF,1,
M0,SCAR_MATCH_HARD,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,REJECT_AS_IS,1,scar_match=True
M1,SCAR_MATCH_SOFT,True,2dbd8e41e5e8e4e1890f9004bd993a1d2801f36364ce30156385193288e85aaa,False,REQUIRE_EXTRA_PROOF,1,
M2,SCAR_NO_MATCH,True,c016e0df4cc8d710864ec22c97d046052d40f3465943ec007336106c1101daaa,False,,,different geom fp: scar_match=False
M3,SCAR_MATCH_DIFF_CLASS,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,REJECT_AS_IS,1,same geom diff class: scar_match=True
C0,REPEATED_TRUSTED_FAILURE,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,True,REJECT_AS_IS,2,pre_count=1 post_count=2
C1,CHEAP_REJECTED_REPEAT,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,2,10 cheap nominations: failure_count unchanged=True nomination_pressure=10
E0,ELEVATION_CHECK_BELOW_THRESHOLD,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,2,failure_count=2 elevation=NOT_ELEVATED
E1,ELEVATION_FIRES,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,True,REJECT_AS_IS,3,elevation_state=ELEVATED events=1
E1_A22,ELEVATION_EVENT_CONTENT,True,e0280314b618851d28616a727b919fa8a182ebf3b6e8206877a4b985b86f4347,False,,,"elevation event fields: ['configuration_fingerprint', 'failed_invariant_class', 'failure_count', 'first_seen_ms', 'last_seen_ms', 'scope_id', 'scope_type', 'verification_reference']"
R0,IDLE_TIME_RETIREMENT_CHECK,True,2dbd8e41e5e8e4e1890f9004bd993a1d2801f36364ce30156385193288e85aaa,False,,1,idle: scar_retired=False
R1,RETIREMENT_AT_THRESHOLD,True,2dbd8e41e5e8e4e1890f9004bd993a1d2801f36364ce30156385193288e85aaa,False,,1,cycles=5 retired=True
R2,RETIREMENT_RESET,True,0678b6b598cc5864ae53bca739839eab222fc554f65cd9ddedeeea02294f563f,True,REQUIRE_EXTRA_PROOF,2,pre_cycles=4 post_cycles=0 pre_count=1 post_count=2
